Province_State,Admin2,Lat,Long_,Date,Confirmed,Deaths,Daily_Confirmed,Daily_Deaths
Washington,King,47.49137892,-121.8346131,2020-02-04,1,0,0.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-02-05,1,0,0.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-02-05,1,0,0.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-02-05,1,0,0.0,0.0
California,San Benito,36.60308176,-121.069975,2020-02-05,2,0,0.0,0.0
California,Santa Clara,37.23104908,-121.6970462,2020-02-05,2,0,0.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-02-05,2,0,0.0,0.0
Massachusetts,Suffolk,42.327951399999996,-71.07850442,2020-02-05,1,0,0.0,0.0
Washington,King,47.49137892,-121.8346131,2020-02-05,1,0,0.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-02-06,1,0,0.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-02-06,1,0,0.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-02-06,1,0,0.0,0.0
California,San Benito,36.60308176,-121.069975,2020-02-06,2,0,0.0,0.0
California,Santa Clara,37.23104908,-121.6970462,2020-02-06,2,0,0.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-02-06,2,0,0.0,0.0
Massachusetts,Suffolk,42.327951399999996,-71.07850442,2020-02-06,1,0,0.0,0.0
Washington,King,47.49137892,-121.8346131,2020-02-06,1,0,0.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-02-07,1,0,0.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-02-07,1,0,0.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-02-07,1,0,0.0,0.0
California,San Benito,36.60308176,-121.069975,2020-02-07,2,0,0.0,0.0
California,Santa Clara,37.23104908,-121.6970462,2020-02-07,2,0,0.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-02-07,2,0,0.0,0.0
Massachusetts,Suffolk,42.327951399999996,-71.07850442,2020-02-07,1,0,0.0,0.0
Washington,King,47.49137892,-121.8346131,2020-02-07,1,0,0.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-02-08,1,0,0.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-02-08,1,0,0.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-02-08,1,0,0.0,0.0
California,San Benito,36.60308176,-121.069975,2020-02-08,2,0,0.0,0.0
California,Santa Clara,37.23104908,-121.6970462,2020-02-08,2,0,0.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-02-08,2,0,0.0,0.0
Massachusetts,Suffolk,42.327951399999996,-71.07850442,2020-02-08,1,0,0.0,0.0
Washington,King,47.49137892,-121.8346131,2020-02-08,1,0,0.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-02-09,1,0,0.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-02-09,1,0,0.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-02-09,1,0,0.0,0.0
California,San Benito,36.60308176,-121.069975,2020-02-09,2,0,0.0,0.0
California,Santa Clara,37.23104908,-121.6970462,2020-02-09,2,0,0.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-02-09,2,0,0.0,0.0
Massachusetts,Suffolk,42.327951399999996,-71.07850442,2020-02-09,1,0,0.0,0.0
Washington,King,47.49137892,-121.8346131,2020-02-09,1,0,0.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-02-10,1,0,0.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-02-10,1,0,0.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-02-10,1,0,0.0,0.0
California,San Benito,36.60308176,-121.069975,2020-02-10,2,0,0.0,0.0
California,Santa Clara,37.23104908,-121.6970462,2020-02-10,2,0,0.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-02-10,2,0,0.0,0.0
Massachusetts,Suffolk,42.327951399999996,-71.07850442,2020-02-10,1,0,0.0,0.0
Washington,King,47.49137892,-121.8346131,2020-02-10,1,0,0.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-02-11,1,0,0.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-02-11,1,0,0.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-02-11,1,0,0.0,0.0
California,San Benito,36.60308176,-121.069975,2020-02-11,2,0,0.0,0.0
California,San Diego,33.03484597,-116.73653259999999,2020-02-11,1,0,1.0,0.0
California,Santa Clara,37.23104908,-121.6970462,2020-02-11,2,0,0.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-02-11,2,0,0.0,0.0
Massachusetts,Suffolk,42.327951399999996,-71.07850442,2020-02-11,1,0,0.0,0.0
Washington,King,47.49137892,-121.8346131,2020-02-11,1,0,0.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-02-12,1,0,0.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-02-12,1,0,0.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-02-12,1,0,0.0,0.0
California,San Benito,36.60308176,-121.069975,2020-02-12,2,0,0.0,0.0
California,San Diego,33.03484597,-116.73653259999999,2020-02-12,1,0,0.0,0.0
California,Santa Clara,37.23104908,-121.6970462,2020-02-12,2,0,0.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-02-12,2,0,0.0,0.0
Massachusetts,Suffolk,42.327951399999996,-71.07850442,2020-02-12,1,0,0.0,0.0
Washington,King,47.49137892,-121.8346131,2020-02-12,1,0,0.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-02-13,1,0,0.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-02-13,1,0,0.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-02-13,1,0,0.0,0.0
California,San Benito,36.60308176,-121.069975,2020-02-13,2,0,0.0,0.0
California,San Diego,33.03484597,-116.73653259999999,2020-02-13,2,0,1.0,0.0
California,Santa Clara,37.23104908,-121.6970462,2020-02-13,2,0,0.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-02-13,2,0,0.0,0.0
Massachusetts,Suffolk,42.327951399999996,-71.07850442,2020-02-13,1,0,0.0,0.0
Washington,King,47.49137892,-121.8346131,2020-02-13,1,0,0.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-02-14,1,0,0.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-02-14,1,0,0.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-02-14,1,0,0.0,0.0
California,San Benito,36.60308176,-121.069975,2020-02-14,2,0,0.0,0.0
California,San Diego,33.03484597,-116.73653259999999,2020-02-14,2,0,0.0,0.0
California,Santa Clara,37.23104908,-121.6970462,2020-02-14,2,0,0.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-02-14,2,0,0.0,0.0
Massachusetts,Suffolk,42.327951399999996,-71.07850442,2020-02-14,1,0,0.0,0.0
Washington,King,47.49137892,-121.8346131,2020-02-14,1,0,0.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-02-15,1,0,0.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-02-15,1,0,0.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-02-15,1,0,0.0,0.0
California,San Benito,36.60308176,-121.069975,2020-02-15,2,0,0.0,0.0
California,San Diego,33.03484597,-116.73653259999999,2020-02-15,2,0,0.0,0.0
California,Santa Clara,37.23104908,-121.6970462,2020-02-15,2,0,0.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-02-15,2,0,0.0,0.0
Massachusetts,Suffolk,42.327951399999996,-71.07850442,2020-02-15,1,0,0.0,0.0
Washington,King,47.49137892,-121.8346131,2020-02-15,1,0,0.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-02-16,1,0,0.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-02-16,1,0,0.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-02-16,1,0,0.0,0.0
California,San Benito,36.60308176,-121.069975,2020-02-16,2,0,0.0,0.0
California,San Diego,33.03484597,-116.73653259999999,2020-02-16,2,0,0.0,0.0
California,Santa Clara,37.23104908,-121.6970462,2020-02-16,2,0,0.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-02-16,2,0,0.0,0.0
Massachusetts,Suffolk,42.327951399999996,-71.07850442,2020-02-16,1,0,0.0,0.0
Washington,King,47.49137892,-121.8346131,2020-02-16,1,0,0.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-02-17,1,0,0.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-02-17,1,0,0.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-02-17,1,0,0.0,0.0
California,San Benito,36.60308176,-121.069975,2020-02-17,2,0,0.0,0.0
